Release Year,Movie,Rerelease,Domestic Gross,Release Date
2021,Spider-Man: No Way Home,N," $804,793,477 ",12/17/22
2021,Shang-Chi and the Legend of the Ten Rings,N," $224,543,292 ",9/3/22
2021,Venom: Let There Be Carnage,N," $213,550,366 ",10/1/22
2021,Black Widow,N," $183,651,655 ",7/9/22
2021,F9: The Fast Saga,N," $173,005,945 ",6/25/22
2021,Eternals,N," $164,870,234 ",11/5/22
2021,Sing 2,N," $162,790,990 ",12/22/22
2021,No Time to Die,N," $160,891,007 ",10/8/22
2021,A Quiet Place Part II,N," $160,072,261 ",5/28/22
2021,Ghostbusters: Afterlife,N," $129,360,575 ",11/19/22
2021,Free Guy,N," $121,626,598 ",8/13/22
2021,Jungle Cruise,N," $116,987,516 ",7/30/22
2021,Dune,N," $108,327,830 ",10/22/22
2021,Godzilla vs. Kong,N," $100,916,094 ",3/31/22
2021,Encanto,N," $96,093,622 ",11/24/22
2021,Halloween Kills,N," $92,002,155 ",10/15/22
2021,Cruella,N," $86,103,234 ",5/28/22
2021,Space Jam: A New Legacy,N," $70,592,228 ",7/16/22
2021,The Conjuring: The Devil Made Me Do It,N," $65,631,050 ",6/4/22
2021,Candyman,N," $61,186,570 ",8/27/22
2021,The Boss Baby 2: Family Business,N," $57,300,280 ",7/2/22
2021,The Addams Family 2,N," $56,489,153 ",10/1/22
2021,The Suicide Squad,N," $55,817,425 ",8/6/22
2021,Raya and the Last Dragon,N," $54,723,032 ",3/5/22
2021,House of Gucci,N," $53,809,574 ",11/24/22
2021,Demon Slayer the Movie: Mugen Train,N," $49,505,008 ",4/23/22
2021,Clifford the Big Red Dog,N," $48,947,356 ",11/10/22
2021,Old,N," $48,276,510 ",7/23/22
2021,Tom & Jerry,N," $46,536,687 ",2/26/22
2021,The Forever Purge,N," $44,539,245 ",7/2/22
2021,Mortal Kombat,N," $42,326,031 ",4/23/22
2021,Peter Rabbit 2: The Runaway,N," $40,501,717 ",6/11/22
2021,PAW Patrol: The Movie,N," $40,127,371 ",8/20/22
2021,West Side Story,N," $38,530,322 ",12/10/22
2021,Hitman's Wife's Bodyguard,N," $38,014,727 ",6/16/22
2021,The Matrix Resurrections,N," $37,686,805 ",12/22/22
2021,The King's Man,N," $37,176,373 ",12/22/22
2021,Don't Breathe 2,N," $32,712,950 ",8/13/22
