A.A. Dowd
A.O. Scott
Adam Nayman
Alan Sepinwall
Alexandra Heller-Nicholas
Alison Herman
Alison Willmore
Alissa Wilkinson
Allison Keene
Allison Shoemaker
Alonso Duralde
Amy Amatangelo
Amy Nicholson
Angelica Jade Bastién
Angie Han
Ann Hornaday
Anna Smith
Anne Cohen
Anthony Lane
Anupama Chopra
Aramide Tinubu
Ben Travers
Bilge Ebiri
Brian Tallerico
Candice Frederick
Carlos Aguilar
Caroline Framke
Caroline Siede
Carrie Rickey
Caryn James
Cath Clarke
Charles Bramesco
Chris Stuckmann
Christina Newland
Christopher Orr
Christy Lemire
Clarisse Loughrey
Claudia Puig
Dan Fienberg
Dana Stevens
David Ehrlich
David Fear
David Rooney
David Sims
David Stratton
Deborah Ross
Donald Clarke
Dorothy Rabinowitz
Dwight Brown
Ed Gonzalez
Ela Bittencourt
Elizabeth Weitzman
Ella Taylor
Emily Nussbaum
Emily VanDerWerff
Eric Deggans
Eric Kohn
Esther Zuckerman
Fionnuala Halligan
Glenn Kenny
Guy Lodge
Hannah Strong
Inkoo Kang
J. Hoberman
James Poniewozik
Jason Bailey
Jeannette Catsoulis
Jen Chaney
Jen Yamato
Jessica Kiang
Joe Morgenstern
John Anderson
Jonathan Romney
Jordan Hoffman
Joshua Rothkopf
Judy Berman
Justin Chang
K. Austin Collins
Kambole Campbell
Karen Han
Kate Erbland
Katey Rich
Kathryn VanArendonk
Katie Rife
Katie Walsh
Kayla Kumari Upadhyaya
Keith Phipps
Keith Uhlich
Kimber Myers
Kristen Lopez
Kristen Yoonsoo Kim
Kristy Puchko
Larushka Ivan-Zadeh
LaToya Ferguson
Leah Greenblatt
Leonard Maltin
Leslie Felperin
Linda Holmes
Linda Marric
Lindsey Bahr
Lisa Kennedy
Liz Shannon Miller
Lorraine Ali
Lucy Mangan
Manohla Dargis
Marjorie Baumgarten
Mark Kermode
Matt Singer
Matt Zoller Seitz
Matthew Gilbert
Maureen Ryan
Max Weiss
Meagan Navarro
Melanie McFarland
Melissa Anderson
Michael O’Sullivan
Michael Phillips
Mike Hale
Monica Castillo
Namrata Joshi
Nell Minow
Nick Schager
Noel Murray
Odie Henderson
Owen Gleiberman
Perri Nemiroff
Peter Bradshaw
Peter Debruge
Peter Rainer
Peter Travers
Philip de Semlyen
Rachel Cooke
Radheyan Simonpillai
Rebecca Nicholson
Richard Brody
Richard Lawson
Richard Roeper
Robbie Collin
Robert Daniels
Roxana Hadadi
Ryan Gilbey
Sam Adams
Sandra Hall
Sara Michelle Fetters
Sara Stewart
Scott Tobias
Sean T. Collins
Sheila O’Malley
Sheri Linden
Shubhra Gupta
Simon Abrams
Simran Hans
Sonia Saraiya
Sophie Gilbert
Sophie Monks Kaufman
Soraya Nadia McDonald
Stephanie Zacharek
Steven D. Greydanus
Tara Brady
Tasha Robinson
Thelma Adams
Tim Cogshell
Tim Grierson
Tim Robey
Todd McCarthy
Tomris Laffly
Tre’vell Anderson
Ty Burr
Udita Jhunjhunwala
Valerie Complex
Wendy Ide
Wenlei Ma
Wesley Morris
Willa Paskin
